Team,History,Cycle,DirAdv,CorpAdv,Commission,AgentsDistr,Training,ManagBudget,BacklogOrders,RandD,Price,AssemblyTime,MarketShares_p,MarketShares_c,MeanPrice,NumOrders,NumSales_p
X29,0,6,13.0,20.88,6.0,2,11.0,133333.3333333333,0,2.66,515.0,175.0,0.0,0.0,502.14285714285717,282,159
X30,0,6,17.0,22.88,13.0,4,70.0,201666.66666666666,31,2.63,448.0,165.0,2.1,14.6,480.6402116402117,565,146
BMC,0,7,35.0,35.528,6.0,5,3.0,200000.0,80,3.58,485.0,165.0,11.5,14.7,488.30303030303025,590,458
Banana,0,7,10.0,22.528,3.0,1,5.0,166666.66666666666,0,3.36,530.0,190.0,2.0,2.1,517.9166666666667,102,93
Batmaja,0,7,10.0,83.52799999999999,12.0,6,37.0,353333.3333333333,0,3.27,455.0,158.0,9.2,6.5,483.17335766423355,588,411
MBC,0,7,10.0,35.528,7.0,5,2.0,116666.66666666666,43,3.32,550.0,180.0,3.4,8.4,511.54545454545456,397,160
Mioduszewski,0,7,10.0,27.528,7.0,3,13.0,141666.66666666666,0,2.38,515.0,185.0,6.7,9.6,501.47435897435895,453,297
Najda,0,7,9.0,37.728,6.0,4,3.0,268333.3333333333,0,2.36,499.0,180.0,6.8,9.0,500.3483146067416,429,275
Perspec,0,7,20.0,63.528,6.0,3,6.0,161666.66666666666,260,3.3,480.0,175.0,4.4,13.8,542.691011235955,477,168
Radw,0,7,5.0,19.528,7.0,2,0.0,123333.33333333333,84,2.0,490.0,150.0,4.6,7.3,496.55405405405406,316,195
X21,0,7,10.0,27.928,13.0,5,28.0,213333.3333333333,53,3.58,507.0,166.0,0.0,0.0,500.375,455,338
X22,0,7,15.0,32.528,13.0,5,25.0,213333.3333333333,65,3.59,500.0,170.0,10.0,11.5,513.4647302904564,516,402
X23,0,7,15.0,37.528,12.0,5,28.0,213333.3333333333,17,3.59,528.0,168.0,0.0,0.0,467.25,479,353
X24,0,7,14.0,37.528,12.0,5,28.0,213333.3333333333,0,3.59,540.0,168.0,0.0,0.0,519.875,404,413
