Team,History,Cycle,DirAdv,CorpAdv,Support,FailedVisits,Training,ManagBudget,WebDev,BacklogOrders,RandD,Price,AssemblyTime,MarketShares_p,MarketShares_c,MeanPrice,NumOrders,NumSales_p
X25,0,9,15.0,47.3136,30.0,0.09999999999999432,0.0,225000.0,20.0,0,3.45,775.0,345.0,0.0,14.7,846.25,345,285
X26,0,9,25.0,39.6336,12.0,0.4000000000000057,17.0,158333.3333333333,40.0,0,3.8,870.0,345.0,11.4,12.9,874.2346208869814,306,257
X27,0,9,13.0,46.35359999999999,20.0,0.0,28.0,300000.0,20.0,9,3.73,881.0,325.0,10.4,10.9,862.6151761517614,315,264
X28,0,9,8.0,34.1536,10.0,0.09999999999999432,10.0,180000.0,20.0,0,3.43,730.0,330.0,0.0,0.0,736.5714285714286,262,225
X29,0,9,15.0,34.7136,13.0,0.0,17.0,147000.0,65.0,0,3.76,860.0,345.0,0.0,0.0,849.125,238,210
X30,0,9,9.0,40.273599999999995,28.0,0.0,24.0,235000.0,21.0,9,3.73,750.0,325.0,11.9,12.8,804.1976284584979,289,260
Historia,1,0,0.0,0.0,0.0,100.0,1.0,26666.666666666664,0.0,0,1.75,0.0,300.0,0.0,0.0,,0,0
Historia,1,1,0.0,0.0,0.0,100.0,3.0,73333.33333333333,0.0,0,1.53,0.0,325.0,0.0,0.0,,0,0
Historia,1,2,0.0,0.0,0.0,100.0,1.0,90000.0,0.0,0,1.58,0.0,325.0,0.0,0.0,,0,0
Historia,1,3,0.0,0.0,9.0,0.09999999999999432,0.0,103333.33333333333,15.0,0,1.63,0.0,325.0,0.0,0.0,,0,0
Historia,1,4,5.0,10.0,9.0,0.09999999999999432,0.0,111666.66666666666,15.0,0,1.68,850.0,325.0,0.0,0.0,850.0,95,0
Banana,1,5,6.0,16.0,9.0,0.09999999999999432,3.0,120000.0,10.0,0,1.73,850.0,325.0,0.0,4.3,823.75,152,95
Batmaja,1,5,10.0,16.0,9.0,0.09999999999999432,2.0,120000.0,20.0,0,1.73,845.0,325.0,0.0,9.2,873.5,196,95
Batmaja,1,5,18.0,16.0,20.0,0.09999999999999432,23.0,203333.3333333333,25.0,0,1.71,940.0,313.0,0.0,10.3,868.2857142857143,214,95
EnactusUEP,1,5,5.0,16.0,10.0,0.0,1.0,120000.0,20.0,0,1.73,860.0,325.0,0.0,7.6,855.0,162,95
MBC,1,5,5.0,16.0,9.0,0.09999999999999432,2.0,120000.0,20.0,0,1.73,845.0,325.0,0.0,0.0,856.875,173,95
Mezzafive,1,5,15.0,16.0,9.0,0.09999999999999432,0.0,123333.33333333333,20.0,0,1.73,875.0,325.0,0.0,9.0,873.5,190,95
Mezzafive,1,5,7.0,16.0,12.0,0.29999999999999716,2.0,136666.66666666666,15.0,0,1.73,861.0,326.0,0.0,0.0,850.1428571428571,180,95
Najda,1,5,6.0,16.0,20.0,0.09999999999999432,45.0,150000.0,19.0,0,1.73,850.0,330.0,0.0,0.0,882.75,215,95
Rosyjski1,1,5,18.0,16.0,20.0,0.09999999999999432,25.0,183333.3333333333,25.0,0,1.73,940.0,325.0,0.0,9.8,856.0,217,95
SGGW,1,5,9.0,16.0,14.0,0.09999999999999432,2.0,116666.66666666666,25.0,0,1.74,825.0,335.0,0.0,5.7,850.1428571428571,196,95
UniversalSolutions,1,5,20.0,16.0,13.0,0.09999999999999432,2.0,126666.66666666666,30.0,0,1.73,860.0,325.0,0.0,9.9,845.0,210,95
UniversalSolutions,1,5,10.0,16.0,9.0,0.0,3.0,118000.0,15.0,0,1.74,850.0,335.0,0.0,0.0,879.4285714285714,177,95
Wilki,1,5,6.0,16.0,9.0,0.09999999999999432,1.0,116666.66666666666,15.0,0,1.73,859.0,330.0,0.0,0.0,845.625,151,95
X03,1,5,7.0,16.0,17.0,0.0,25.0,150000.0,15.0,0,1.73,940.0,326.0,0.0,0.0,882.75,174,95
X04,1,5,5.0,16.0,17.0,0.0,25.0,150000.0,15.0,0,1.73,940.0,325.0,0.0,0.0,899.75,166,95
X05,1,5,5.0,16.0,17.0,0.0,25.0,150000.0,15.0,0,1.73,940.0,326.0,0.0,0.0,884.0,99,95
Zwolińsk,1,5,5.0,16.0,11.0,0.09999999999999432,0.0,116666.66666666666,17.0,0,1.73,820.0,325.0,0.0,5.0,848.0,171,95
